Air_Humidity,Air_Temperature,Soil_Temperature,Water_Level,UV_Light,Soil_Moisture
52.47240713,26.80906561,21.20922455,27.48516097,7.29998311,77.26375821
87.04285838,29.20306978,19.98736289,38.60360476,1.845119956,87.24262803
73.91963651,40.6364218,15.28461738,30.32000513,3.466396944,74.11706337
65.91950905,25.20013158,28.2180001,8.74861624,6.632806369,78.89907066
39.36111843,41.08949054,24.29872482,13.35111066,4.820893445,60.90355512
39.35967122,17.64403293,35.97102977,14.86976828,7.385710386,68.93551177
33.48501673,38.30395312,10.96328741,16.60389141,9.612079012,63.17528936
81.97056875,40.42642899,29.31603783,30.44315264,1.165466877,77.45144601
66.0669007,20.45452959,32.88846636,27.67846009,7.095677164,80.35296781
72.48435467,27.91039597,32.78459708,14.14220173,2.303441556,84.89370651
31.23506966,19.96499324,36.58221901,8.039967956,4.144767274,67.92135315
88.19459113,36.19812387,31.87101228,12.7144492,0.328627258,82.83792168
79.94655845,31.06043304,37.83430185,49.29715907,1.359073823,80.93339968
42.74034664,34.0597004,19.97969799,26.08461274,3.19777289,67.4740636
40.90949803,20.89460901,25.0962825,44.03054771,3.419858053,75.80704911
41.00427059,21.35237586,10.4223899,43.193861,8.995852165,80.95588148
48.25453458,16.24491977,10.20872762,28.01838009,7.418129093,82.27743441
61.4853859,24.66202606,17.20379861,36.80094688,9.721829682,79.91803079
55.91670112,31.79233984,13.02421591,13.67384047,5.990715103,72.35106954
47.47374841,40.73804742,17.80634104,35.97785172,2.417137321,79.18927193
66.71117368,35.00782342,15.31129884,17.25730607,3.276550299,74.89477865
38.36963164,28.0618897,10.85560075,42.44279435,3.198359233,65.6905635
47.52867891,43.59360343,37.27912439,8.76758599,3.264943277,68.00092037
51.9817106,36.57735602,10.24669394,39.79124028,6.729641731,71.99055449
57.36419905,42.90495609,32.08246433,9.497160796,5.308079281,65.70184799
77.11055768,30.8276392,14.56443661,44.65351566,3.854241781,80.53699477
41.98042693,22.76712824,37.36688866,18.68920332,1.490897687,82.49940027
60.8540663,16.58480059,36.78387819,34.44770142,0.221391629,84.2914387
65.54487413,36.78254554,29.61703439,26.93760254,2.188346776,77.22219999
32.78702476,18.63908994,30.16702449,21.48364154,1.07471404,74.86635006
66.45269111,24.08325385,10.16017426,34.04488249,7.854450309,84.0706135
40.23144742,30.97412724,39.54614698,47.63853412,1.124979578,75.21627243
33.90309558,31.93249763,36.33497811,6.857138632,7.242282373,62.78649798
86.93313224,33.01749591,36.85318677,46.34837851,3.856586898,73.37323187
87.93792198,19.98765991,29.77733611,32.40867448,0.733783897,94.47883913
78.50384089,26.39212214,20.34360786,41.32914353,8.127300494,85.51895749
48.27682615,33.51582681,36.80945947,22.2743729,5.796305702,68.58461933
35.86032684,44.09456594,18.74550784,26.23293387,2.357615129,66.37243367
71.05398159,36.82893413,26.8813463,44.09828383,8.946811743,72.09301235
56.40914962,42.67811271,12.99192917,23.66815864,0.452583139,72.90773236
37.32229409,37.86636175,37.6586689,29.0596805,2.018196082,63.26599387
59.71061461,32.75150907,14.22311373,5.908771539,7.520469278,72.72717811
32.06331127,20.76070107,16.74690417,12.13691026,7.093779303,78.9976142
84.55922412,35.00056956,26.74402474,33.87589286,2.892716937,74.3002976
45.5267989,33.70138698,32.92279001,37.26396055,0.620248754,81.77909954
69.75133706,33.07407511,28.58053918,31.21704216,8.580780722,79.62675448
48.70266457,29.69357604,16.96401738,11.44895163,3.136976381,66.22653965
